key,value,date
Lindsay Wilmes,0,2011
Lindsay Wilmes,0,2012
Lindsay Wilmes,0,2013
Lindsay Wilmes,0,2014
Lindsay Wilmes,0,2015
Masataka Yoshimura,2.0,2002
Masataka Yoshimura,2.0,2003
Masataka Yoshimura,3.0,2004
Masataka Yoshimura,4.0,2005
Masataka Yoshimura,2.0,2006
Masataka Yoshimura,3.0,2007
Masataka Yoshimura,4.0,2008
Masataka Yoshimura,3.0,2009
Masataka Yoshimura,1.0,2010
Masataka Yoshimura,1.0,2011
Masataka Yoshimura,0,2012
Masataka Yoshimura,0,2013
Masataka Yoshimura,0,2014
Masataka Yoshimura,0,2015
Wei Chen,3.0,2002
Wei Chen,3.0,2003
Wei Chen,3.0,2004
Wei Chen,2.0,2005
Wei Chen,3.0,2006
Wei Chen,4.0,2007
Wei Chen,3.0,2008
Wei Chen,8.0,2009
Wei Chen,3.0,2010
Wei Chen,4.0,2011
Wei Chen,3.0,2012
Wei Chen,3.0,2013
Wei Chen,2.0,2014
Wei Chen,2.0,2015
Zissimos P. Mourelatos,0,2002
Zissimos P. Mourelatos,3.0,2003
Zissimos P. Mourelatos,3.0,2004
Zissimos P. Mourelatos,2.0,2005
Zissimos P. Mourelatos,2.0,2006
Zissimos P. Mourelatos,2.0,2007
Zissimos P. Mourelatos,2.0,2008
Zissimos P. Mourelatos,2.0,2009
Zissimos P. Mourelatos,4.0,2010
Zissimos P. Mourelatos,3.0,2011
Zissimos P. Mourelatos,3.0,2012
Zissimos P. Mourelatos,4.0,2013
Zissimos P. Mourelatos,5.0,2014
Zissimos P. Mourelatos,3.0,2015
Douglas C. Stahl,0,2002
Douglas C. Stahl,0,2003
Douglas C. Stahl,1.0,2004
Douglas C. Stahl,0,2005
Douglas C. Stahl,0,2006
Douglas C. Stahl,0,2007
Douglas C. Stahl,0,2008
Douglas C. Stahl,0,2009
Douglas C. Stahl,0,2010
Douglas C. Stahl,0,2011
Douglas C. Stahl,0,2012
Douglas C. Stahl,0,2013
Douglas C. Stahl,0,2014
Douglas C. Stahl,0,2015
Trevor Bailey,0,2002
Trevor Bailey,0,2003
Trevor Bailey,2.0,2004
Trevor Bailey,0,2005
Trevor Bailey,0,2006
Trevor Bailey,0,2007
Trevor Bailey,2.0,2008
Trevor Bailey,0,2009
Trevor Bailey,0,2010
Trevor Bailey,0,2011
Trevor Bailey,0,2012
Trevor Bailey,0,2013
Trevor Bailey,0,2014
Trevor Bailey,0,2015
Ping Ge,0,2002
Ping Ge,0,2003
Ping Ge,2.0,2004
Ping Ge,0,2005
Ping Ge,1.0,2006
Ping Ge,0,2007
Ping Ge,0,2008
Ping Ge,0,2009
Ping Ge,0,2010
Ping Ge,0,2011
Ping Ge,0,2012
Ping Ge,0,2013
Ping Ge,0,2014
Ping Ge,0,2015
Michael Yu Wang,0,2002
Michael Yu Wang,1.0,2003
Michael Yu Wang,2.0,2004
Michael Yu Wang,1.0,2005
Michael Yu Wang,1.0,2006
Michael Yu Wang,0,2007
Michael Yu Wang,0,2008
Michael Yu Wang,0,2009
Michael Yu Wang,0,2010
Michael Yu Wang,1.0,2011
Michael Yu Wang,0,2012
Michael Yu Wang,0,2013
Michael Yu Wang,0,2014
Michael Yu Wang,0,2015
Yotaro Hatamura,0,2002
Yotaro Hatamura,1.0,2003
Yotaro Hatamura,2.0,2004
Yotaro Hatamura,2.0,2005
Yotaro Hatamura,0,2006
Yotaro Hatamura,0,2007
Yotaro Hatamura,0,2008
Yotaro Hatamura,0,2009
Yotaro Hatamura,0,2010
Yotaro Hatamura,0,2011
Yotaro Hatamura,0,2012
Yotaro Hatamura,0,2013
Yotaro Hatamura,0,2014
Yotaro Hatamura,0,2015
Janet K. Allen,3.0,2002
Janet K. Allen,1.0,2003
Janet K. Allen,2.0,2004
Janet K. Allen,5.0,2005
Janet K. Allen,4.0,2006
Janet K. Allen,4.0,2007
Janet K. Allen,1.0,2008
Janet K. Allen,3.0,2009
Janet K. Allen,2.0,2010
Janet K. Allen,1.0,2011
Janet K. Allen,0,2012
Janet K. Allen,3.0,2013
Janet K. Allen,5.0,2014
Janet K. Allen,2.0,2015
Jay D. Martin,0,2002
Jay D. Martin,1.0,2003
Jay D. Martin,1.0,2004
Jay D. Martin,1.0,2005
Jay D. Martin,0,2006
Jay D. Martin,1.0,2007
Jay D. Martin,1.0,2008
Jay D. Martin,0,2009
Jay D. Martin,0,2010
Jay D. Martin,1.0,2011
Jay D. Martin,0,2012
Jay D. Martin,0,2013
Jay D. Martin,0,2014
Jay D. Martin,0,2015
GA1/4l E. Okudan,0,2002
GA1/4l E. Okudan,0,2003
GA1/4l E. Okudan,1.0,2004
GA1/4l E. Okudan,1.0,2005
GA1/4l E. Okudan,1.0,2006
GA1/4l E. Okudan,1.0,2007
GA1/4l E. Okudan,1.0,2008
GA1/4l E. Okudan,1.0,2009
GA1/4l E. Okudan,0,2010
GA1/4l E. Okudan,1.0,2011
GA1/4l E. Okudan,1.0,2012
GA1/4l E. Okudan,0,2013
GA1/4l E. Okudan,0,2014
GA1/4l E. Okudan,0,2015
Hae Chang Gea,1.0,2002
Hae Chang Gea,2.0,2003
Hae Chang Gea,1.0,2004
Hae Chang Gea,2.0,2005
Hae Chang Gea,3.0,2006
Hae Chang Gea,1.0,2007
Hae Chang Gea,2.0,2008
Hae Chang Gea,2.0,2009
Hae Chang Gea,2.0,2010
Hae Chang Gea,3.0,2011
Hae Chang Gea,2.0,2012
Hae Chang Gea,3.0,2013
Hae Chang Gea,2.0,2014
Hae Chang Gea,1.0,2015
Toru Inagaki,0,2002
Toru Inagaki,0,2003
Toru Inagaki,1.0,2004
Toru Inagaki,0,2005
Toru Inagaki,0,2006
Toru Inagaki,0,2007
Toru Inagaki,0,2008
Toru Inagaki,0,2009
Toru Inagaki,0,2010
Toru Inagaki,0,2011
Toru Inagaki,0,2012
Toru Inagaki,0,2013
Toru Inagaki,0,2014
Toru Inagaki,0,2015
Matthew I. Campbell,0,2002
Matthew I. Campbell,1.0,2003
Matthew I. Campbell,2.0,2004
Matthew I. Campbell,0,2005
Matthew I. Campbell,1.0,2006
Matthew I. Campbell,4.0,2007
Matthew I. Campbell,1.0,2008
Matthew I. Campbell,1.0,2009
Matthew I. Campbell,0,2010
Matthew I. Campbell,2.0,2011
Matthew I. Campbell,3.0,2012
Matthew I. Campbell,2.0,2013
Matthew I. Campbell,0,2014
Matthew I. Campbell,3.0,2015
Satishkumar Subramanian,0,2002
Satishkumar Subramanian,0,2003
Satishkumar Subramanian,1.0,2004
Satishkumar Subramanian,0,2005
Satishkumar Subramanian,0,2006
Satishkumar Subramanian,0,2007
Satishkumar Subramanian,0,2008
Satishkumar Subramanian,0,2009
Satishkumar Subramanian,0,2010
Satishkumar Subramanian,0,2011
Satishkumar Subramanian,0,2012
Satishkumar Subramanian,0,2013
Satishkumar Subramanian,0,2014
Satishkumar Subramanian,0,2015
